Simulation,Round,Informed
1,1,1
1,2,4
1,3,5
1,4,18
1,5,46
1,6,80
1,7,97
1,8,100
2,1,1
2,2,1
2,3,2
2,4,4
2,5,6
2,6,16
2,7,35
2,8,73
2,9,100
3,1,3
3,2,6
3,3,17
3,4,35
3,5,69
3,6,99
3,7,100
4,1,1
4,2,1
4,3,1
4,4,7
4,5,24
4,6,46
4,7,84
4,8,98
4,9,100
5,1,1
5,2,2
5,3,2
5,4,7
5,5,23
5,6,48
5,7,80
5,8,97
5,9,100
6,1,1
6,2,4
6,3,9
6,4,25
6,5,54
6,6,86
6,7,100
7,1,4
7,2,14
7,3,44
7,4,84
7,5,96
7,6,100
8,1,2
8,2,4
8,3,8
8,4,17
8,5,38
8,6,63
8,7,93
8,8,99
8,9,100
9,1,13
9,2,31
9,3,65
9,4,88
9,5,99
9,6,100
10,1,1
10,2,1
10,3,4
10,4,11
10,5,27
10,6,57
10,7,91
10,8,99
10,9,100
