Simulating pull;
Round:1 Informed:2
Round:2 Informed:6
Round:3 Informed:15
Round:4 Informed:41
Round:5 Informed:101
Round:6 Informed:286
Round:7 Informed:800
Round:8 Informed:2232
Round:9 Informed:6096
Round:10 Informed:16819
Round:11 Informed:46008
Round:12 Informed:124992
Round:13 Informed:335264
Round:14 Informed:881353
Round:15 Informed:2194418
Round:16 Informed:4789722
Round:17 Informed:8066219
Round:18 Informed:9787402
Round:19 Informed:9997703
Round:20 Informed:10000000
