Simulation,Round,Informed
1,1,3
1,2,9
1,3,22
1,4,58
1,5,142
1,6,315
1,7,568
1,8,799
1,9,918
1,10,963
1,11,989
1,12,998
1,13,1000
2,1,3
2,2,6
2,3,18
2,4,47
2,5,118
2,6,253
2,7,492
2,8,722
2,9,894
2,10,961
2,11,987
2,12,996
2,13,997
2,14,999
2,15,1000
3,1,3
3,2,8
3,3,22
3,4,58
3,5,138
3,6,297
3,7,516
3,8,745
3,9,900
3,10,958
3,11,979
3,12,989
3,13,995
3,14,997
3,15,1000
4,1,2
4,2,4
4,3,11
4,4,30
4,5,76
4,6,178
4,7,357
4,8,591
4,9,796
4,10,908
4,11,967
4,12,989
4,13,997
4,14,999
4,15,999
4,16,1000
5,1,3
5,2,9
5,3,26
5,4,70
5,5,163
5,6,348
5,7,573
5,8,785
5,9,908
5,10,966
5,11,987
5,12,994
5,13,998
5,14,999
5,15,1000
