Round:1 Informed:4
Round:2 Informed:14
Round:3 Informed:38
Round:4 Informed:101
Round:5 Informed:275
Round:6 Informed:753
Round:7 Informed:2026
Round:8 Informed:5516
Round:9 Informed:14991
Round:10 Informed:40590
Round:11 Informed:109755
Round:12 Informed:293060
Round:13 Informed:758395
Round:14 Informed:1824622
Round:15 Informed:3775196
Round:16 Informed:6225004
Round:17 Informed:8177119
Round:18 Informed:9242038
Round:19 Informed:9707117
Round:20 Informed:9890316
Round:21 Informed:9959298
Round:22 Informed:9984897
Round:23 Informed:9994408
Round:24 Informed:9997978
Round:25 Informed:9999273
Round:26 Informed:9999743
Round:27 Informed:9999923
Round:28 Informed:9999972
Round:29 Informed:9999987
Round:30 Informed:9999994
Round:31 Informed:9999996
Round:32 Informed:10000000
