Simulation,Round,Informed
1,1,2
1,2,18
1,3,94
1,4,432
1,5,2017
1,6,6308
1,7,9626
1,8,10000
2,1,6
2,2,28
2,3,164
2,4,782
2,5,3147
2,6,7960
2,7,9927
2,8,10000
3,1,3
3,2,16
3,3,85
3,4,419
3,5,1860
3,6,6109
3,7,9572
3,8,9997
3,9,10000
4,1,10
4,2,55
4,3,295
4,4,1359
4,5,4890
4,6,9184
4,7,9989
4,8,10000
5,1,2
5,2,9
5,3,29
5,4,137
5,5,627
5,6,2724
5,7,7375
5,8,9844
5,9,10000
6,1,19
6,2,99
6,3,497
6,4,2272
6,5,6694
6,6,9714
6,7,9999
6,8,10000
7,1,5
7,2,20
7,3,91
7,4,452
7,5,2064
7,6,6388
7,7,9678
7,8,9999
7,9,10000
8,1,5
8,2,33
8,3,171
8,4,812
8,5,3222
8,6,7992
8,7,9913
8,8,9999
8,9,10000
9,1,3
9,2,9
9,3,51
9,4,251
9,5,1141
9,6,4297
9,7,8819
9,8,9966
9,9,10000
10,1,2
10,2,4
10,3,15
10,4,82
10,5,418
10,6,1934
10,7,6163
10,8,9607
10,9,9999
10,10,10000
11,1,2
11,2,16
11,3,82
11,4,444
11,5,1937
11,6,6157
11,7,9595
11,8,9999
11,9,10000
